origin_city,destination_city,origin_station,destination_station,price
Northampton,London,Northampton Town Centre,London Heathrow Airport (Central Bus Station T2 and T3),16.99
Bradford,Nottingham,Bradford Interchange,Nottingham (Phoenix Park P+R),5.99
Poole,London,Poole Seldown Coach Station,London Heathrow Airport (Central Bus Station T2 and T3),9.323333333333332
Sheffield,London,Sheffield Interchange,London Heathrow Airport (Central Bus Station T2 and T3),13.99
London,Southampton,London Heathrow Airport (Central Bus Station T2 and T3),Southampton University,17.99
London,Birmingham,London Heathrow Airport (Central Bus Station T2 and T3),Birmingham - Great Charles Street Queensway,9.156666666666665
Gloucester,Birmingham,Gloucester (Transport Hub),Birmingham - Great Charles Street Queensway,4.99
Sheffield,Edinburgh,Sheffield (Meadowhall Interchange),Edinburgh Bus Station,16.99
Birmingham,Gloucester,Birmingham - Great Charles Street Queensway,Gloucester (Transport Hub),4.99
Carlisle,Leeds,Carlisle (Halston Hotel),Leeds Cultural Stop C,8.99
London,Plymouth,London Heathrow Airport (Central Bus Station T2 and T3),Plymouth Coach Station,15.49
Sheffield,Aberdeen,Sheffield (Meadowhall Interchange),Aberdeen Bus Station,27.49
Newport,Cardiff,Newport,Cardiff North Road (Friary Gardens),3.49
Sheffield,Northampton,Sheffield (Meadowhall Interchange),Northampton (Grange Park - Saxon Avenue),8.99
Coventry,Manchester,Coventry (Pool Meadow),Manchester (Shudehill Interchange),14.74
Bristol,Swansea,Bristol Bus Station (UK),Swansea University,6.297692307692307
London,Glasgow,London Heathrow Airport (Central Bus Station T2 and T3),Glasgow,35.99
Edinburgh,London,Edinburgh Bus Station,London Heathrow Airport (Central Bus Station T2 and T3),31.99
Manchester,Darlington,Manchester (Shudehill Interchange),Darlington (Town Hall),6.99
Leicester,Bradford,Leicester (Fosse Park),Bradford Interchange,7.656666666666666
Bristol,Weston-super-Mare,Bristol Bus Station (UK),Weston-super-Mare - Worle Station,4.99
Coventry,Northampton,Coventry (Pool Meadow),Northampton Town Centre,4.99
Swindon,Cambridge,Regent Circus Swindon (Stop C),Cambridge (Trumpington Park and Ride),8.99
Leicester,London,Leicester St Margarets bus station,London Heathrow Airport (Central Bus Station T2 and T3),8.545555555555556
Edinburgh,Aberdeen,Edinburgh Bus Station,Aberdeen Bus Station,12.389999999999997
Glasgow,Dundee,Glasgow,Dundee (Overgate Centre - West Marketgait),5.489999999999999
Carlisle,Northampton,Carlisle (Halston Hotel),Northampton Town Centre,19.49
Preston,Birmingham,Preston Bus Station,Birmingham - Great Charles Street Queensway,11.99
London,Leeds,London Heathrow Airport (Central Bus Station T2 and T3),Leeds City Bus Station,10.99
Birmingham,Bristol,Birmingham - Great Charles Street Queensway,Bristol Bus Station (UK),5.990000000000001
Leicester,Northampton,Leicester St Margarets bus station,Northampton (Grange Park - Saxon Avenue),7.989999999999999
Leeds,Sheffield,Leeds City Bus Station,Sheffield (Meadowhall Interchange),4.531666666666669
Leeds,Manchester,Leeds City Bus Station,Manchester (Shudehill Interchange),3.990000000000001
Leeds,Leicester,Leeds City Bus Station,Leicester (Fosse Park),7.156666666666667
Plymouth,Bristol,Plymouth Coach Station,Bristol Bus Station (UK),6.99
Swindon,Cardiff,Regent Circus Swindon (Stop C),Cardiff North Road (Friary Gardens),6.49
London,Bradford,London Heathrow Airport (Central Bus Station T2 and T3),Bradford Interchange,16.49
Manchester,Bristol,Manchester (Shudehill Interchange),Bristol Bus Station (UK),7.49
Luton,Cambridge,Luton DART Parkway (For Airport),Cambridge (Trumpington Park and Ride),9.49
Bristol,Birmingham,Bristol Bus Station (UK),Birmingham - Great Charles Street Queensway,5.990000000000001
Preston,Glasgow,Preston Bus Station,Glasgow,9.49
London,Sheffield,London Heathrow Airport (Central Bus Station T2 and T3),Sheffield Interchange,12.49
Bournemouth,Southampton,Bournemouth,Southampton Central Station (Stop SF),3.49
London,Leicester,London Heathrow Airport (Central Bus Station T2 and T3),Leicester St Margarets bus station,8.323333333333332
London,Manchester,London Heathrow Airport (Central Bus Station T2 and T3),Manchester (Moss Lane East),16.99
Nottingham,Birmingham,Nottingham (Phoenix Park P+R),Birmingham - Great Charles Street Queensway,4.49
Bristol,Plymouth,Bristol Bus Station (UK),Plymouth Coach Station,6.890000000000001
Glasgow,Birmingham,Glasgow,Birmingham - Great Charles Street Queensway,20.74
Bradford,London,Bradford Interchange,London Heathrow Airport (Central Bus Station T2 and T3),21.99
Liverpool,Birmingham,Liverpool (One Bus Station),Birmingham - Great Charles Street Queensway,7.090000000000001
Newport,Swindon,Newport,Regent Circus Swindon (Stop C),7.99
Manchester,Sunderland,Manchester (Shudehill Interchange),Sunderland Interchange,7.489999999999999
Southampton,Bournemouth,Southampton University,Bournemouth,3.49
Exeter,Bristol,Cullompton Bus Stop (Station RD),Bristol Bus Station (UK),5.49
Northampton,Nottingham,Northampton (Grange Park - Saxon Avenue),Nottingham Broad Marsh Bus Station,17.99
Sheffield,Nottingham,Sheffield (Meadowhall Interchange),Nottingham (Phoenix Park P+R),3.99
Southampton,Poole,Southampton University,Poole Seldown Coach Station,4.99
Cheltenham,Swindon,Cheltenham Royal Well Bus Station,Regent Circus Swindon (Stop C),3.49
Cambridge,Luton,Cambridge Parkside - Stop 18,Luton DART Parkway (For Airport),9.49
Birmingham,Chester,Birmingham - Great Charles Street Queensway,Chester Bus Interchange (Stand N),7.989999999999999
